m,n,heuristic,cpu_time,correct,solution_length,search_nodes_generated
40,0,NA,0.328125,True,24,1388
40,1,NA,0.1875,True,24,814
40,2,NA,1.265625,True,26,5331
40,3,NA,1.046875,True,24,4250
40,4,NA,0.390625,True,28,1566
40,5,NA,0.078125,True,20,329
40,6,NA,0.171875,True,18,629
40,7,NA,0.609375,True,26,2540
40,8,NA,0.625,True,28,2942
40,9,NA,0.21875,True,22,882
50,0,BF,28.296875,True,22,386149
50,1,BF,58.71875,False,0,784111
50,2,BF,48.40625,True,24,658907
50,3,BF,31.609375,True,22,430153
50,4,BF,29.5625,True,22,403277
50,5,BF,23.296875,True,22,321525
50,6,BF,31.765625,True,22,435685
50,7,BF,58.328125,False,0,786256
50,8,BF,29.671875,True,22,413557
50,9,BF,58.65625,False,0,783532
50,0,MT,2.65625,True,22,16406
50,1,MT,27.265625,True,28,175991
50,2,MT,6.578125,True,24,40803
50,3,MT,2.421875,True,22,15045
50,4,MT,2.515625,True,22,15242
50,5,MT,2.34375,True,22,14274
50,6,MT,2.59375,True,22,15746
50,7,MT,13.390625,True,26,84759
50,8,MT,2.8125,True,22,17894
50,9,MT,12.25,True,26,80900
50,0,CB,0.359375,True,22,2293
50,1,CB,1.03125,True,28,6969
50,2,CB,0.375,True,24,2517
50,3,CB,0.109375,True,22,789
50,4,CB,0.15625,True,22,940
50,5,CB,0.15625,True,22,958
50,6,CB,0.1875,True,22,1241
50,7,CB,1.59375,True,26,10334
50,8,CB,0.109375,True,22,677
50,9,CB,0.28125,True,26,2013
50,0,NA,0.5625,True,24,2635
50,1,NA,0.8125,True,28,3479
50,2,NA,0.953125,True,26,3981
50,3,NA,0.125,True,22,521
50,4,NA,0.28125,True,22,1224
50,5,NA,0.453125,True,22,1887
50,6,NA,0.515625,True,22,2271
50,7,NA,1.5,True,28,6336
50,8,NA,0.203125,True,24,1006
50,9,NA,0.234375,True,26,975
